127.0.0.1 - - [13/Oct/2018:14:43:50 +0000] "GET /2018/10/13/hello-world/ HTTP/1.0" 499 0 "http://plusinfotech.local/2018/10/13/hello-world/" "WordPress/4.9.8; http://plusinfotech.local"
127.0.0.1 - - [13/Oct/2018:14:43:55 +0000] "POST /wp-cron.php?doing_wp_cron=1539441833.6308948993682861328125 HTTP/1.0" 499 0 "http://plusinfotech.local/wp-cron.php?doing_wp_cron=1539441833.6308948993682861328125" "WordPress/4.9.8; http://plusinfotech.local"
127.0.0.1 - - [13/Oct/2018:14:43:55 +0000] "GET /index.php/2018/10/13/hello-world/ HTTP/1.0" 200 57820 "http://plusinfotech.local/index.php/2018/10/13/hello-world/" "WordPress/4.9.8; http://plusinfotech.local"
127.0.0.1 - - [13/Oct/2018:14:44:38 +0000] "GET / HTTP/1.0" 200 53346 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:44:40 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://plusinfotech.local/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:09 +0000] "GET /wp-admin HTTP/1.0" 301 178 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:10 +0000] "GET /wp-admin/ HTTP/1.0" 302 0 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:12 +0000] "GET /wp-login.php?redirect_to=http%3A%2F%2Fplusinfotech.local%2Fwp-admin%2F&reauth=1 HTTP/1.0" 200 2289 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:12 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,buttons,forms,l10n,login&ver=4.9.8 HTTP/1.0" 200 104364 "http://plusinfotech.local/wp-login.php?redirect_to=http%3A%2F%2Fplusinfotech.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:12 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://plusinfotech.local/wp-login.php?redirect_to=http%3A%2F%2Fplusinfotech.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:34 +0000] "POST /wp-login.php HTTP/1.0" 302 0 "http://plusinfotech.local/wp-login.php?redirect_to=http%3A%2F%2Fplusinfotech.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:37 +0000] "GET /wp-admin/ HTTP/1.0" 200 58129 "http://plusinfotech.local/wp-login.php?redirect_to=http%3A%2F%2Fplusinfotech.local%2Fwp-admin%2F&reauth=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:38 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=jquery-core,jquery-migrate,utils&ver=4.9.8 HTTP/1.0" 200 109068 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:39 +0000] "GET /wp-admin/load-styles.php?c=0&dir=ltr&load%5B%5D=dashicons,admin-bar,common,forms,admin-menu,dashboard,list-tables,edit,revisions,media,themes,about,nav-menus,wp-pointer,widgets&load%5B%5D=,site-icon,l10n,buttons,wp-auth-check&ver=4.9.8 HTTP/1.0" 200 337409 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:40 +0000] "GET /wp-admin/load-scripts.php?c=0&load%5B%5D=hoverIntent,common,admin-bar,wp-ajax-response,jquery-color,wp-lists,quicktags,jquery-query,admin-comments,jquery-ui-core,jquery-&load%5B%5D=ui-widget,jquery-ui-mouse,jquery-ui-sortable,postbox,underscore,wp-util,wp-a11y,dashboard,thickbox,plugin-install,updates,shortc&load%5B%5D=ode,media-upload,svg-painter,heartbeat,wp-auth-check,wplink,jquery-ui-position,jquery-ui-menu,jquery-ui-autocomplete&ver=4.9.8 HTTP/1.0" 200 245287 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:40 +0000] "GET /favicon.ico HTTP/1.0" 200 0 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:42 +0000] "POST /wp-cron.php?doing_wp_cron=1539442362.2185680866241455078125 HTTP/1.0" 200 0 "http://plusinfotech.local/wp-cron.php?doing_wp_cron=1539442362.2185680866241455078125" "WordPress/4.9.8; http://plusinfotech.local"
127.0.0.1 - - [13/Oct/2018:14:52:42 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=1&_ajax_nonce=ca40fc063a&1539442360575 HTTP/1.0" 200 1114 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:43 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=2&_ajax_nonce=ca40fc063a&1539442363300 HTTP/1.0" 200 572 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:44 +0000] "POST /wp-admin/admin-ajax.php HTTP/1.0" 200 1658 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:45 +0000] "GET /wp-admin/admin-ajax.php?action=wp-compression-test&test=yes&_ajax_nonce=ca40fc063a&1539442363492 HTTP/1.0" 200 1 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
127.0.0.1 - - [13/Oct/2018:14:52:49 +0000] "GET /wp-admin/admin-ajax.php?action=dashboard-widgets&widget=dashboard_primary&pagenow=dashboard HTTP/1.0" 200 849 "http://plusinfotech.local/wp-admin/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/69.0.3497.100 Safari/537.36"
